id,run_id,pipeline_name,batch_id,log_date,log_hour,error_request_count,total_request_count,error_rate,distinct_error_hosts
266470,16,hive,1,1995-07-18,1,0,59,0.00,0
266471,16,hive,1,1995-07-18,2,1,80,1.25,1
266472,16,hive,1,1995-07-18,3,0,36,0.00,0
266473,16,hive,1,1995-07-18,4,0,62,0.00,0
266474,16,hive,1,1995-07-18,5,0,59,0.00,0
266475,16,hive,1,1995-07-18,6,0,23,0.00,0
266476,16,hive,1,1995-07-18,7,0,343,0.00,0
266477,16,hive,1,1995-07-18,8,4,765,0.52,1
266478,16,hive,1,1995-07-18,9,5,683,0.73,4
266479,16,hive,1,1995-07-18,10,3,815,0.37,2
266480,16,hive,1,1995-07-18,11,2,981,0.20,1
266481,16,hive,1,1995-07-18,12,5,928,0.54,4
266482,16,hive,1,1995-07-18,13,6,1320,0.45,6
266483,16,hive,1,1995-07-18,14,9,912,0.99,5
266484,16,hive,1,1995-07-18,15,5,1362,0.37,5
266485,16,hive,1,1995-07-18,16,11,1183,0.93,2
266486,16,hive,1,1995-07-18,17,1,452,0.22,1
266487,16,hive,1,1995-07-18,18,0,328,0.00,0
266488,16,hive,1,1995-07-18,19,0,512,0.00,0
266489,16,hive,1,1995-07-18,20,0,389,0.00,0
266490,16,hive,1,1995-07-18,21,0,254,0.00,0
266491,16,hive,1,1995-07-18,22,0,188,0.00,0
266492,16,hive,1,1995-07-18,23,0,193,0.00,0
266493,16,hive,1,1995-07-19,0,0,64,0.00,0
266494,16,hive,1,1995-07-19,1,0,71,0.00,0
266495,16,hive,1,1995-07-19,2,0,42,0.00,0
266496,16,hive,1,1995-07-19,3,1,72,1.39,1
266497,16,hive,1,1995-07-19,4,0,115,0.00,0
266498,16,hive,1,1995-07-19,5,0,55,0.00,0
266499,16,hive,1,1995-07-19,6,0,262,0.00,0
266500,16,hive,1,1995-07-19,7,19,497,3.82,2
266501,16,hive,1,1995-07-19,8,4,703,0.57,3
266502,16,hive,1,1995-07-19,9,0,968,0.00,0
266503,16,hive,1,1995-07-19,10,6,963,0.62,3
266504,16,hive,1,1995-07-19,11,3,994,0.30,2
266505,16,hive,1,1995-07-19,12,9,1127,0.80,1
266506,16,hive,1,1995-07-19,13,3,1002,0.30,2
266507,16,hive,1,1995-07-19,14,8,1023,0.78,4
266508,16,hive,1,1995-07-19,15,8,1079,0.74,3
266509,16,hive,1,1995-07-19,16,3,633,0.47,2
266510,16,hive,1,1995-07-19,17,0,479,0.00,0
266511,16,hive,1,1995-07-19,18,1,283,0.35,1
266512,16,hive,1,1995-07-19,19,0,355,0.00,0
266513,16,hive,1,1995-07-19,20,1,154,0.65,1
266514,16,hive,1,1995-07-19,21,0,129,0.00,0
266515,16,hive,1,1995-07-19,22,0,63,0.00,0
266516,16,hive,1,1995-07-19,23,0,57,0.00,0
266517,16,hive,1,1995-07-20,0,0,73,0.00,0
266518,16,hive,1,1995-07-20,1,0,101,0.00,0
266519,16,hive,1,1995-07-20,2,0,112,0.00,0
266520,16,hive,1,1995-07-20,3,0,92,0.00,0
266521,16,hive,1,1995-07-20,4,2,136,1.47,2
266522,16,hive,1,1995-07-20,5,0,29,0.00,0
266523,16,hive,1,1995-07-20,6,0,132,0.00,0
266524,16,hive,1,1995-07-20,7,2,396,0.51,2
266525,16,hive,1,1995-07-20,8,2,852,0.23,2
266526,16,hive,1,1995-07-20,9,8,770,1.04,2
266527,16,hive,1,1995-07-20,10,3,809,0.37,1
266528,16,hive,1,1995-07-20,11,10,967,1.03,6
266529,16,hive,1,1995-07-20,12,11,1210,0.91,4
266530,16,hive,1,1995-07-20,13,2,1036,0.19,2
266531,16,hive,1,1995-07-20,14,3,1220,0.25,3
266532,16,hive,1,1995-07-20,15,5,1064,0.47,4
266533,16,hive,1,1995-07-20,16,8,1132,0.71,4
266534,16,hive,1,1995-07-20,17,3,555,0.54,2
266535,16,hive,1,1995-07-20,18,0,289,0.00,0
266536,16,hive,1,1995-07-20,19,1,145,0.69,1
266537,16,hive,1,1995-07-20,20,0,60,0.00,0
266538,16,hive,1,1995-07-20,21,0,91,0.00,0
266539,16,hive,1,1995-07-20,22,0,94,0.00,0
266540,16,hive,1,1995-07-20,23,0,47,0.00,0
266541,16,hive,1,1995-07-21,0,1,63,1.59,1
266542,16,hive,1,1995-07-21,1,0,51,0.00,0
266543,16,hive,1,1995-07-21,2,0,47,0.00,0
266544,16,hive,1,1995-07-21,3,0,85,0.00,0
266545,16,hive,1,1995-07-21,4,0,69,0.00,0
266546,16,hive,1,1995-07-21,5,0,99,0.00,0
266547,16,hive,1,1995-07-21,6,1,192,0.52,1
266548,16,hive,1,1995-07-21,7,6,573,1.05,2
266549,16,hive,1,1995-07-21,8,2,1005,0.20,2
266550,16,hive,1,1995-07-21,9,9,965,0.93,4
266551,16,hive,1,1995-07-21,10,2,808,0.25,2
266552,16,hive,1,1995-07-21,11,10,1030,0.97,4
266553,16,hive,1,1995-07-21,12,2,833,0.24,2
266554,16,hive,1,1995-07-21,13,5,1155,0.43,3
266555,16,hive,1,1995-07-21,14,0,976,0.00,0
266556,16,hive,1,1995-07-21,15,1,952,0.11,1
266557,16,hive,1,1995-07-21,16,0,679,0.00,0
266558,16,hive,1,1995-07-21,17,2,522,0.38,2
266559,16,hive,1,1995-07-21,18,2,125,1.60,2
266560,16,hive,1,1995-07-21,19,2,129,1.55,2
266561,16,hive,1,1995-07-21,20,0,51,0.00,0
266562,16,hive,1,1995-07-21,21,0,55,0.00,0
